source_type,source_name,source_id,relation_name,target_name,target_id,link_type
page,Job,1e663b73-60c9-8173-a49a-f0a987cd3387,(linked view),,1e663b73-60c9-81e8-8dbf-c5a5b1403b68,linked_view
page,Journal,1e663b73-60c9-8174-8095-ce83e06fce51,(linked view),,1e663b73-60c9-8139-895e-cb74432c16d0,linked_view
page,Journal,1e663b73-60c9-8174-8095-ce83e06fce51,(linked view),,1e663b73-60c9-812c-b7a5-f76ea2956cf4,linked_view
page,Journal,1e663b73-60c9-8174-8095-ce83e06fce51,(linked view),,1e663b73-60c9-813b-9cde-fb02e99dac7d,linked_view
page,Family & Friends,1e663b73-60c9-8182-ac6b-ec24d9945581,(linked view),,1e663b73-60c9-814f-8dc1-d6810686190c,linked_view
page,Family & Friends,1e663b73-60c9-8182-ac6b-ec24d9945581,(linked view),,1e663b73-60c9-813b-b622-f026f3b6fdaa,linked_view
page,Family & Friends,1e663b73-60c9-8182-ac6b-ec24d9945581,(linked view),,1e663b73-60c9-8109-860c-c88e826a301c,linked_view
page,Personal,1e663b73-60c9-81ad-873f-ca48be897489,(linked view),,1e663b73-60c9-8195-a913-d11103fbe04d,linked_view
page,Bottlenecks,1e663b73-60c9-81cc-ad7a-eda9a329f90e,(linked view),Bottlenecks,1e663b73-60c9-812b-92c7-cf120854fa10,linked_view
page,Quick Notes,1e663b73-60c9-81d2-a0a8-c49958ee0558,(linked view),My Quick Notes,1e663b73-60c9-8150-903e-cd3b52fd5078,linked_view
page,Monthly Review,1e663b73-60c9-8186-bd2e-c8f7ca6e3029,(linked view),,1e663b73-60c9-81f0-973e-f5e022b4a857,linked_view
page,Monthly Review,1e663b73-60c9-8186-bd2e-c8f7ca6e3029,(linked view),,1e663b73-60c9-813d-a2f2-caaa7e423cde,linked_view
page,Monthly Review,1e663b73-60c9-8186-bd2e-c8f7ca6e3029,(linked view),,1e663b73-60c9-812d-9e77-f001d0fe2400,linked_view
page,Open Loops,1e663b73-60c9-81ae-afc2-d8d04d2259a6,(linked view),,1e663b73-60c9-813f-8f8e-db9bd5e4b078,linked_view
page,Open Loops,1e663b73-60c9-81ae-afc2-d8d04d2259a6,(linked view),,1e663b73-60c9-818d-8d66-e1f07fdba3ef,linked_view
page,Time Track,1e663b73-60c9-81b7-a78a-f1bdad5d10b2,(linked view),,1e663b73-60c9-8127-8389-c8958d60c7b6,linked_view
page,Weekly Review,1e663b73-60c9-81ce-b615-de21308b5da6,(linked view),,1e663b73-60c9-81c1-a845-f11208454694,linked_view
page,Weekly Review,1e663b73-60c9-81ce-b615-de21308b5da6,(linked view),,1e663b73-60c9-81ea-819e-cac5c38585a6,linked_view
page,Weekly Review,1e663b73-60c9-81ce-b615-de21308b5da6,(linked view),,1e663b73-60c9-81ab-b4fe-d4c20c9ceb93,linked_view
